Grid,Average Speed Limit,Average Traffic Volume,Total Cameras,Total Signals,Total Incidents,Total Signs
0,,,0,0,0,0
1,,,0,0,0,0
2,,,0,0,0,0
3,,,0,0,0,0
4,,2000,0,0,0,47
5,61.53846154,9800,1,1,7,200
6,72.94117647,10117.64706,1,5,17,985
7,65,15555.55556,0,7,13,438
8,,,0,0,0,14
9,,,0,0,0,2
10,,,0,0,0,0
11,,,0,0,0,0
12,70,7000,0,0,1,65
13,72.5,13333.33333,0,0,6,196
14,62.85714286,9281.25,0,16,50,1367
15,62,17089.28571,3,33,111,1986
16,63.6,20272.72727,1,6,27,822
17,67.01754386,21627.90698,2,17,104,1940
18,72.79069767,17909.09091,1,10,35,1477
19,76.875,9000,0,0,2,37
20,,,0,0,0,0
21,,,0,0,0,0
22,,,0,0,0,2
23,63.63636364,17250,0,0,9,248
24,60.83333333,15047.61905,0,13,46,1406
25,55,24324.32432,5,34,154,1684
26,65.71428571,34416.66667,0,18,96,1477
27,66.875,21026.31579,5,27,93,1416
28,66.25,19000,0,6,27,583
29,58.75,,0,0,0,77
30,,,0,0,0,0
31,,,0,0,0,0
32,,,0,0,0,0
33,60,3000,0,1,0,126
34,59.23076923,13350,2,26,88,1541
35,62.58064516,18608.69565,3,70,225,2345
36,64.28571429,36421.05263,3,34,149,1714
37,70,16035.71429,2,18,104,961
38,72.4,16750,1,1,38,249
39,,11333.33333,0,0,0,91
40,,,0,0,0,0
41,70,17000,0,0,1,42
42,63.33333333,13750,0,2,15,795
43,66.66666667,18400,0,21,69,1529
44,53.44827586,25071.42857,3,28,303,3026
45,55.71428571,29020,9,61,307,3294
46,68.78787879,31187.5,5,19,297,798
47,56.85714286,14807.69231,1,17,63,1329
48,71.875,24500,0,4,36,97
49,80,,0,0,0,6
50,,,0,0,0,0
51,60,8000,0,0,3,45
52,61.66666667,16285.71429,0,22,45,1995
53,63.52941176,20600,2,35,107,2998
54,53.5,23979.16667,8,77,326,5090
55,42.94117647,13951.75439,22,223,465,8114
56,63.21428571,31600,5,38,362,2328
57,55.78947368,14123.28767,5,56,259,2839
58,68.90909091,17913.04348,0,23,84,1132
59,80,16000,0,1,5,73
60,110,44000,0,0,5,66
61,66.5,24375,0,0,14,582
62,65,18526.31579,1,17,44,2025
63,64.25531915,20365.85366,2,46,123,2789
64,53.66666667,21888.88889,3,49,161,2815
65,64.76190476,20319.14894,4,53,238,3434
66,63.33333333,34265.30612,6,36,354,1014
67,55.49019608,17539.68254,6,50,290,2376
68,73.65853659,22000,2,19,127,1489
69,,,0,0,0,10
70,,,0,0,0,16
71,64.38596491,24411.76471,0,10,26,1248
72,64.40677966,15781.81818,1,39,67,2166
73,65.59322034,22333.33333,2,32,93,2082
74,71.11111111,18083.33333,0,7,23,551
75,72.22222222,32342.85714,1,33,161,1686
76,70,27833.33333,0,6,25,157
77,61.05263158,15806.45161,0,17,80,1523
78,74.11764706,12468.75,0,22,81,1721
79,,,0,0,0,0
80,,,0,0,0,0
81,70.47619048,10076.92308,0,7,10,922
82,63.22580645,21500,1,10,32,737
83,62.30769231,18875,1,22,84,1379
84,63.39285714,24843.75,2,24,79,1914
85,64.04761905,17536.58537,0,33,94,2059
86,68.18181818,33916.66667,2,15,55,944
87,66.5,17235.29412,2,14,63,1052
88,82.5,20666.66667,0,3,26,253
89,,,0,0,0,8
90,,,0,0,0,0
91,75,4000,0,0,0,14
92,72.5,2000,0,0,0,67
93,61.81818182,7000,0,1,11,539
94,60,9333.333333,0,2,2,359
95,72,11000,0,1,5,171
96,82.10526316,83500,0,0,22,36
97,67.5,20500,0,0,20,20
98,93.33333333,40000,0,0,1,2
99,,,0,0,0,0
